"Date","Daily minimum temperatures in Melbourne, Australia, 1981-1990"
"2010-01-01",109.9
"2010-01-02",110.6
"2010-01-03",111.8
"2010-01-04",112.4
"2010-01-05",109.7
"2010-01-06",109.4
"2010-01-07",110.0
"2010-01-08",109.1
"2010-01-09",108.5
"2010-01-10",108.1
"2010-01-11",105.8
"2010-01-12",109.4
"2010-01-13",108.4
"2010-01-14",109.6
"2010-01-15",110.3
"2010-01-16",110.4
"2010-01-17",111.6
"2010-01-18",113.6
"2010-01-19",108.8
"2010-01-20",112.7
"2010-01-21",114.4
"2010-01-22",114.1
"2010-01-23",111.1
"2010-01-24",112.2
"2010-01-25",113.0
"2010-01-26",111.9
"2010-01-27",111.3
"2010-01-28",111.9
"2010-01-29",110.4
"2010-01-30",109.4
"2010-01-31",105.5
"2010-02-01",107.3
"2010-02-02",108.5
"2010-02-03",106.7
"2010-02-04",108.2
"2010-02-05",105.5
"2010-02-06",106.3
"2010-02-07",111.2
"2010-02-08",113.7
"2010-02-09",108.3
"2010-02-10",111.2
"2010-02-11",107.1
"2010-02-12",109.0
"2010-02-13",106.1
"2010-02-14",107.1
"2010-02-15",106.8
"2010-02-16",107.6
"2010-02-17",107.7
"2010-02-18",105.8
"2010-02-19",108.9
"2010-02-20",107.1
"2010-02-21",108.3
"2010-02-22",110.6
"2010-02-23",106.9
"2010-02-24",105.3
"2010-02-25",109.8
"2010-02-26",106.9
"2010-02-27",108.5
"2010-02-28",112.1
"2010-03-01",109.1
"2010-03-02",113.4
"2010-03-03",108.1
"2010-03-04",108.1
"2010-03-05",107.2
"2010-03-06",107.8
"2010-03-07",108.3
"2010-03-08",110.1
"2010-03-09",102.7
"2010-03-10",106.3
"2010-03-11",107.0
"2010-03-12",110.2
"2010-03-13",106.8
"2010-03-14",106.4
"2010-03-15",104.8
"2010-03-16",107.9
"2010-03-17",112.2
"2010-03-18",105.7
"2010-03-19",105.1
"2010-03-20",105.3
"2010-03-21",109.3
"2010-03-22",105.3
"2010-03-23",103.1
"2010-03-24",106.1
"2010-03-25",105.4
"2010-03-26",105.2
"2010-03-27",104.4
"2010-03-28",106.3
"2010-03-29",106.6
"2010-03-30",105.6
"2010-03-31",107.0
"2010-04-01",106.2
"2010-04-02",103.5
"2010-04-03",99.3
"2010-04-04",101.8
"2010-04-05",103.2
"2010-04-06",107.3
"2010-04-07",106.4
